feature,mean_abs_shap
rolling_outbreak_count,0.16199324750104174
year,0.06880112835031954
disease_type_encoded,0.05653474374942157
livestock_density_log,0.04489539262916238
temp_celsuis,0.044548304261643364
rainfall_mm,0.028990923242321474
temp_anomaly,0.027749578237901317
rainfall_anomaly,0.02544281211496054
country_encoded,0.02205729918896088
species_encoded,0.020428111040916772
month_sin,0.011304245735155517
month_cos,0.011109501418718692
season_encoded,0.002656360695250434
