Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2018","2018","An","454025737","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2019","2019","An","483241727","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2020","2020","An","493515287","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2021","2021","An","493730968","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2022","2022","An","504633694","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2023","2023","An","516434721","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02123","Goats","2024","2024","An","533691640","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2005","2005","An","286482103","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2006","2006","An","291247919","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2007","2007","An","305964060","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2008","2008","An","309962932","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2009","2009","An","316110405","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2010","2010","An","322967093","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2011","2011","An","332473755","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2012","2012","An","341857500","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2013","2013","An","351515038","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2014","2014","An","360663989","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2015","2015","An","363204491","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2016","2016","An","374653782","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2017","2017","An","380882077","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2018","2018","An","388086469","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2019","2019","An","409742815","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2020","2020","An","418714777","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2021","2021","An","424044488","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2022","2022","An","426307743","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2023","2023","An","432673751","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5111","Stocks","02122","Sheep","2024","2024","An","438674829","E","Estimated value",""
